Time Since Start, Startboard, Stardboard ADC, Port, Port ADC, Front, Back, RPM ,,,
18.48235655,0.340738722,26,-10.85320169,57,55,1,0,,,
18.51417613,0.340738722,26,-11.20330497,56,55,1,0,,,
18.54622936,0.340738722,26,-10.85320169,57,55,1,0,,,
18.57821035,0.340738722,26,-10.85320169,57,58,1,0,,,
18.61001301,0.340738722,26,-11.20330497,56,55,0,0,,,
18.64240527,0.340738722,26,-11.20330497,56,58,1,0,,,
18.67467046,0,25,-10.85320169,57,55,1,0,,,
18.70606232,0.340738722,26,-10.85320169,57,55,1,0,,,
18.73830724,0.340738722,26,-10.50309841,58,52,1,0,,,
18.77102709,0.681477443,27,-10.15299513,59,52,1,0,,,
18.80243778,0.340738722,26,-11.55340826,55,54,0,0,,,
18.83443403,0.340738722,26,-10.50309841,58,54,0,0,,,
18.86619115,0.340738722,26,-10.85320169,57,54,1,0,,,
18.89858317,0.340738722,26,-10.85320169,57,57,1,0,,,
18.93063998,-0.340738722,24,-10.85320169,57,54,1,0,,,
18.96275568,0,25,-10.85320169,57,54,1,0,,,
18.99472165,0,25,-10.85320169,57,54,1,0,,,
19.02673101,-0.681477443,23,-10.85320169,57,54,1,0,,,
19.05879188,0.340738722,26,-11.20330497,56,52,0,0,,,
19.09089065,0.681477443,27,-10.85320169,57,54,1,0,,,
19.12210989,0.340738722,26,-10.85320169,57,55,1,0,,,
19.15470624,0,25,-10.85320169,57,55,1,0,,,
19.18669438,0,25,-10.85320169,57,52,1,0,,,
19.2187922,0.681477443,27,-10.50309841,58,55,1,0,,,
19.25085068,0,25,-10.50309841,58,46,1,0,,,
19.28275156,0.340738722,26,-10.85320169,57,55,1,0,,,
19.31478238,0.340738722,26,-10.85320169,57,58,0,0,,,
19.34678078,0.340738722,26,-11.20330497,56,54,0,0,,,
19.37888741,0.340738722,26,-10.85320169,57,51,1,0,,,
19.41086602,0.340738722,26,-11.20330497,56,55,1,0,,,
19.44280601,0.340738722,26,-10.85320169,57,55,1,0,,,
19.47503042,0.340738722,26,-10.85320169,57,54,0,0,,,
19.50705099,0.340738722,26,-10.85320169,57,55,1,0,,,
19.53846622,0.340738722,26,-10.85320169,57,55,1,0,,,
19.57079577,0.340738722,26,-10.85320169,57,49,1,0,,,
19.6028316,0.340738722,26,-10.85320169,57,55,1,0,,,
19.63472366,1.022216165,28,-10.85320169,57,55,1,0,,,
19.66676164,0.340738722,26,-10.85320169,57,59,0,0,,,
19.69881034,0.340738722,26,-11.55340826,55,55,0,0,,,
19.73118544,0.340738722,26,-10.85320169,57,55,1,0,,,
19.7626164,0.681477443,27,-10.15299513,59,54,1,0,,,
19.7952826,0.340738722,26,-10.50309841,58,50,1,0,,,
19.82677531,0.340738722,26,-10.85320169,57,54,1,0,,,
19.85889482,0.340738722,26,-11.20330497,56,51,1,0,,,
19.89123487,0.340738722,26,-10.85320169,57,54,1,0,,,
19.92289805,0,25,-10.85320169,57,58,1,0,,,
19.95522857,0,25,-10.85320169,57,55,0,0,,,
19.98714662,0,25,-10.50309841,58,54,0,0,,,
20.01918244,0.340738722,26,-10.85320169,57,51,0,0,,,
20.05129814,-0.340738722,24,-10.85320169,57,52,1,0,,,
20.08303452,0.340738722,26,-10.85320169,57,53,1,0,,,
20.11544204,0.681477443,27,-10.85320169,57,53,1,0,,,
20.14729667,0.340738722,26,-10.85320169,57,54,1,0,,,
20.17938757,0.340738722,26,-10.85320169,57,54,0,0,,,
20.21142578,0.340738722,26,-10.85320169,57,53,1,0,,,
20.24324751,0.340738722,26,-10.50309841,58,54,1,0,,,
20.27514267,0.340738722,26,-10.85320169,57,51,1,0,,,
20.30720067,1.362954886,29,-10.85320169,57,54,1,0,,,
20.33923316,0,25,-10.85320169,57,54,1,0,,,
20.37174201,0.681477443,27,-10.85320169,57,54,1,0,,,
20.40367365,0.340738722,26,-10.85320169,57,55,1,0,,,
20.43520474,0.340738722,26,-11.55340826,55,55,1,0,,,
20.4672842,0.340738722,26,-10.85320169,57,55,1,0,,,
20.4992919,0.340738722,26,-10.85320169,57,53,1,0,,,
20.5313313,0,25,-10.85320169,57,50,1,0,,,
20.56366205,0.340738722,26,-10.85320169,57,54,1,0,,,
20.59581017,0.340738722,26,-10.85320169,57,56,0,0,,,
20.6275785,0.340738722,26,-10.85320169,57,55,1,0,,,
20.65972471,0.340738722,26,-10.85320169,57,54,1,0,,,
20.69189405,0.340738722,26,-10.85320169,57,55,1,0,,,
20.72395372,0.340738722,26,-11.20330497,56,55,1,0,,,
20.75598049,0.340738722,26,-11.20330497,56,59,0,0,,,
20.78803468,0,25,-10.85320169,57,55,1,0,,,
20.81993508,0.340738722,26,-10.85320169,57,58,1,0,,,
20.85167336,-0.340738722,24,-11.90351154,54,55,0,0,,,
20.88387585,0.340738722,26,-10.85320169,57,55,0,0,,,
20.91569591,0.340738722,26,-10.85320169,57,55,1,0,,,
20.94789767,0.340738722,26,-10.85320169,57,55,1,0,,,
20.98017168,0.340738722,26,-10.85320169,57,52,1,0,,,
21.01209426,0.681477443,27,-10.50309841,58,55,2,0,,,
21.04417491,0.340738722,26,-10.85320169,57,55,1,0,,,
21.0760386,0,25,-10.15299513,59,54,1,0,,,
21.10792422,0.340738722,26,-10.50309841,58,54,1,0,,,
21.14016914,0.340738722,26,-10.85320169,57,54,1,0,,,
21.17237592,0,25,-11.55340826,55,54,0,0,,,
21.20437455,0.340738722,26,-10.85320169,57,55,1,0,,,
21.23680878,0.340738722,26,-10.85320169,57,54,1,0,,,
21.26837945,0.340738722,26,-10.85320169,57,59,1,0,,,
21.30048084,0.681477443,27,-10.85320169,57,48,1,0,,,
21.33216023,0.340738722,26,-10.85320169,57,56,0,0,,,
21.36407733,0.340738722,26,-11.20330497,56,55,1,0,,,
21.39629889,0,25,-10.85320169,57,55,1,0,,,
21.42803264,0.340738722,26,-10.50309841,58,49,1,0,,,
21.46068215,0,25,-11.20330497,56,58,1,0,,,
21.49241614,0.340738722,26,-10.50309841,58,56,0,0,,,
21.52462554,0.340738722,26,-10.85320169,57,54,1,0,,,
21.55663633,0.340738722,26,-10.85320169,57,48,1,0,,,
21.58857512,0.340738722,26,-10.50309841,58,54,1,0,,,
21.62071681,0.340738722,26,-10.85320169,57,55,1,0,,,
21.65318108,0.340738722,26,-10.85320169,57,62,0,0,,,
21.68480897,0.340738722,26,-10.85320169,57,52,1,0,,,
21.71664023,0.340738722,26,-10.85320169,57,55,1,0,,,
21.74826074,0.340738722,26,-10.85320169,57,48,1,0,,,
21.78064156,0.340738722,26,-10.50309841,58,55,1,0,,,
21.81281734,0.340738722,26,-10.85320169,57,55,1,0,,,
21.84476495,0,25,-10.85320169,57,55,1,0,,,
21.87666392,0.340738722,26,-10.50309841,58,53,0,0,,,
21.9087956,0.340738722,26,-10.85320169,57,55,1,0,,,
21.94091225,0.340738722,26,-10.85320169,57,55,1,0,,,
21.97249603,0.340738722,26,-11.20330497,56,54,0,0,,,
22.00454879,0.340738722,26,-10.85320169,57,58,1,0,,,
22.03605103,0.340738722,26,-10.85320169,57,54,1,0,,,
22.06858206,0.340738722,26,-10.85320169,57,56,1,0,,,
22.10065961,0.340738722,26,-10.85320169,57,59,1,0,,,
22.13300562,0,25,-10.85320169,57,55,1,0,,,
22.16511679,0.340738722,26,-10.85320169,57,54,1,0,,,
22.19697118,0.340738722,26,-10.85320169,57,55,1,0,,,
22.22913241,0.340738722,26,-11.20330497,56,54,1,0,,,
22.26105475,0.340738722,26,-10.50309841,58,55,1,0,,,
22.2931211,0.340738722,26,-10.85320169,57,52,1,0,,,
22.32477784,1.362954886,29,-10.85320169,57,54,1,0,,,
22.3571136,0.340738722,26,-10.85320169,57,55,1,0,,,
22.38938785,0.681477443,27,-11.20330497,56,55,1,0,,,
22.4210453,0,25,-10.85320169,57,55,1,0,,,
22.45332766,0.340738722,26,-10.85320169,57,55,1,0,,,
22.48513699,0.340738722,26,-10.85320169,57,56,1,0,,,
22.5168798,0,25,-10.85320169,57,57,1,0,,,
22.54906893,0.340738722,26,-10.85320169,57,55,1,0,,,
22.58124757,0.340738722,26,-10.85320169,57,55,0,0,,,
