Time Since Start, Startboard, Stardboard ADC, Port, Port ADC, Front, Back, RPM ,,,,
29.17713499,10.56290037,57,-11.20330497,25,0,0,0,,,,
29.20916533,10.90363909,58,-10.85320169,26,0,0,0,,,,
29.24169707,10.56290037,57,-10.85320169,26,0,0,0,,,,
29.27378154,10.56290037,57,-11.20330497,25,0,0,0,,,,
29.30575633,10.90363909,58,-11.20330497,25,0,0,0,,,,
29.33771253,10.56290037,57,-11.20330497,25,0,0,0,,,,
29.36971998,10.56290037,57,-11.20330497,25,0,1,0,,,,
29.40194416,10.56290037,57,-10.85320169,26,0,0,0,,,,
29.43377137,10.56290037,57,-11.20330497,25,0,0,0,,,,
29.46619487,10.56290037,57,-10.50309841,27,0,0,0,,,,
29.49781275,10.56290037,57,-11.20330497,25,0,0,0,,,,
29.52984142,10.56290037,57,-11.20330497,25,0,0,0,,,,
29.5621829,10.56290037,57,-10.85320169,26,0,0,0,,,,
29.59429312,10.56290037,57,-10.50309841,27,0,0,0,,,,
29.62632775,10.56290037,57,-11.20330497,25,0,0,0,,,,
29.6582849,10.56290037,57,-11.55340826,24,0,-1,0,,,,
29.69050694,10.56290037,57,-10.85320169,26,0,0,0,,,,
29.72225857,10.56290037,57,-11.20330497,25,0,1,0,,,,
29.75421572,10.56290037,57,-11.20330497,25,0,0,0,,,,
29.78594255,10.56290037,57,-10.85320169,26,0,0,0,,,,
29.81842184,11.58511653,60,-10.85320169,26,0,0,0,,,,
29.8500514,10.56290037,57,-11.20330497,25,0,1,0,,,,
29.88229966,10.56290037,57,-10.85320169,26,0,1,0,,,,
29.91445065,10.56290037,57,-11.55340826,24,0,0,0,,,,
29.94631672,10.56290037,57,-10.85320169,26,0,0,0,,,,
29.97846508,10.56290037,57,-11.20330497,25,0,0,0,,,,
30.01035476,10.56290037,57,-11.20330497,25,0,0,0,,,,
30.04215026,10.90363909,58,-11.20330497,25,0,0,0,,,,
30.07499027,10.56290037,57,-10.85320169,26,-1,0,0,,,,
30.10706377,10.56290037,57,-11.20330497,25,-1,0,0,,,,
30.13924766,10.56290037,57,-10.85320169,26,0,0,0,,,,
30.17051959,10.56290037,57,-10.85320169,26,0,0,0,,,,
30.20277095,10.56290037,57,-11.55340826,24,0,0,0,,,,
30.23427391,10.56290037,57,-11.20330497,25,-1,0,0,,,,
30.26630402,10.56290037,57,-11.20330497,25,-1,1,0,,,,
30.29783511,10.90363909,58,-10.85320169,26,0,0,0,,,,
30.32986593,9.881422925,55,-10.85320169,26,0,0,0,,,,
30.36239648,10.56290037,57,-11.20330497,25,-1,0,0,,,,
30.39442754,10.90363909,58,-11.55340826,24,-1,0,0,,,,
30.42649698,10.90363909,58,-11.20330497,25,-1,0,0,,,,
30.45860672,10.90363909,58,-11.55340826,24,-1,0,0,,,,
30.49070621,10.56290037,57,-11.20330497,25,0,1,0,,,,
30.52275705,10.56290037,57,-10.85320169,26,0,0,0,,,,
30.55511379,10.56290037,57,-11.20330497,25,-1,0,0,,,,
30.58708286,10.56290037,57,-10.85320169,26,0,0,0,,,,
30.61888266,10.22216165,56,-11.55340826,24,0,0,0,,,,
30.65143037,10.56290037,57,-10.85320169,26,0,0,0,,,,
30.68296909,10.56290037,57,-11.20330497,25,0,0,0,,,,
30.71511412,10.56290037,57,-10.85320169,26,0,0,0,,,,
30.74704337,10.56290037,57,-11.55340826,24,0,0,0,,,,
30.77922392,10.56290037,57,-11.20330497,25,0,0,0,,,,
30.81080222,10.56290037,57,-10.85320169,26,0,1,0,,,,
30.84285855,10.56290037,57,-10.85320169,26,-1,1,0,,,,
30.8748076,10.56290037,57,-11.20330497,25,0,0,0,,,,
30.9068768,10.56290037,57,-11.20330497,25,0,0,0,,,,
30.93915892,10.56290037,57,-10.85320169,26,0,0,0,,,,
30.97137189,10.22216165,56,-11.20330497,25,0,1,0,,,,
31.00346231,10.56290037,57,-11.20330497,25,0,1,0,,,,
31.03526998,10.56290037,57,-11.20330497,25,0,1,0,,,,
31.0673573,10.90363909,58,-11.55340826,24,0,1,0,,,,
31.09955263,10.56290037,57,-10.85320169,26,0,0,0,,,,
31.13134694,10.56290037,57,-10.85320169,26,0,1,0,,,,
31.16319108,10.56290037,57,-10.85320169,26,0,0,0,,,,
31.19529533,10.56290037,57,-10.50309841,27,0,0,0,,,,
31.22728872,10.22216165,56,-11.20330497,25,0,0,0,,,,
31.25946712,10.56290037,57,-10.85320169,26,0,0,0,,,,
31.29141998,10.90363909,58,-10.85320169,26,-1,0,0,,,,
31.32365918,10.56290037,57,-10.85320169,26,0,0,0,,,,
31.35542345,10.56290037,57,-10.85320169,26,-1,1,0,,,,
31.38791084,10.56290037,57,-10.85320169,26,0,1,0,,,,
31.41903186,10.90363909,58,-10.85320169,26,0,0,0,,,,
31.45106292,10.56290037,57,-10.85320169,26,-1,0,0,,,,
31.48309255,10.56290037,57,-11.20330497,25,0,0,0,,,,
31.51512313,10.56290037,57,-10.85320169,26,0,0,0,,,,
31.54715466,10.56290037,57,-10.85320169,26,0,0,0,,,,
31.57975268,10.56290037,57,-10.85320169,26,0,0,0,,,,
31.61187696,10.56290037,57,-10.85320169,26,0,1,0,,,,
31.64373374,10.56290037,57,-11.20330497,25,0,0,0,,,,
31.67566037,10.56290037,57,-11.20330497,25,0,1,0,,,,
31.7079854,10.56290037,57,-10.85320169,26,0,1,0,,,,
31.73923588,10.56290037,57,-11.20330497,25,0,1,0,,,,
31.7712667,10.56290037,57,-10.85320169,26,0,1,0,,,,
31.80329776,10.90363909,58,-10.85320169,26,0,0,0,,,,
31.83532786,10.56290037,57,-10.85320169,26,0,0,0,,,,
31.86735916,10.56290037,57,-11.20330497,25,0,0,0,,,,
