Time Since Start, Startboard, Stardboard ADC, Port, Port ADC, Front, Back, RPM ,,,,,
14.56983042,22.82949434,93,-11.20330497,25,-1,0,1560,,,,,
14.60185099,22.48875562,92,-10.85320169,26,0,-1,1620,,,,,
14.64984322,22.1480169,91,-11.20330497,25,0,0,1680,,,,,
14.68190622,21.46653946,89,-11.20330497,25,-1,1,1560,,,,,
14.71386814,23.17023307,94,-11.55340826,24,-1,-1,1680,,,,,
14.74726725,23.17023307,94,-11.20330497,25,0,0,1620,,,,,
14.77782249,18.74062969,81,-11.55340826,24,0,0,1620,,,,,
14.80994797,17.03693608,76,-11.90351154,23,1,0,1620,,,,,
14.84193206,18.05915224,79,-11.20330497,25,0,0,1620,,,,,
14.87400484,20.10358457,85,-11.20330497,25,0,-1,1680,,,,,
14.90600324,22.1480169,91,-11.20330497,25,-1,1,1560,,,,,
14.93805695,21.80727818,90,-11.90351154,23,1,0,1620,,,,,
14.97008348,22.48875562,92,-11.20330497,25,0,1,1620,,,,,
15.00210881,21.80727818,90,-11.20330497,25,0,0,1620,,,,,
15.03425169,20.44432329,86,-10.85320169,26,0,0,1620,,,,,
15.06613636,21.12580074,88,-11.20330497,25,0,0,1620,,,,,
15.09804726,17.71841352,78,-11.20330497,25,1,0,1620,,,,,
15.13015509,18.39989096,80,-11.20330497,25,0,0,1620,,,,,
15.16203523,20.44432329,86,-11.20330497,25,0,0,1620,,,,,
15.1943953,22.1480169,91,-11.20330497,25,0,0,1680,,,,,
15.22626543,22.82949434,93,-10.85320169,26,0,0,1620,,,,,
15.25838041,22.82949434,93,-10.85320169,26,-1,0,1680,,,,,
15.29024863,22.82949434,93,-10.85320169,26,-1,0,1620,,,,,
15.32224321,22.1480169,91,-10.85320169,26,-1,0,1620,,,,,
15.3543613,18.05915224,79,-11.55340826,24,0,-1,1620,,,,,
15.38634467,18.39989096,80,-11.20330497,25,1,1,1680,,,,,
15.41844344,20.10358457,85,-10.85320169,26,0,0,1620,,,,,
15.45028734,21.12580074,88,-11.20330497,25,0,0,1680,,,,,
15.48233485,24.19244923,97,-10.85320169,26,0,0,1680,,,,,
15.51454687,24.87392667,99,-11.20330497,25,-1,1,1620,,,,,
15.54769158,23.85171051,96,-11.20330497,25,0,0,1560,,,,,
15.57850218,22.48875562,92,-11.20330497,25,0,0,1680,,,,,
15.61054254,22.1480169,91,-10.85320169,26,-1,0,1620,,,,,
15.64263558,20.10358457,85,-11.55340826,24,0,0,1620,,,,,
15.67457914,20.10358457,85,-11.20330497,25,0,1,1620,,,,,
15.70663857,20.44432329,86,-10.85320169,26,0,-1,1620,,,,,
15.73862982,23.17023307,94,-11.20330497,25,0,0,1620,,,,,
15.77065444,24.53318795,98,-10.85320169,26,-1,1,1620,,,,,
15.80246592,23.17023307,94,-11.20330497,25,0,0,1620,,,,,
15.8348093,21.46653946,89,-11.20330497,25,0,0,1620,,,,,
15.86683297,20.44432329,86,-11.55340826,24,-1,0,1560,,,,,
15.89887643,21.80727818,90,-10.85320169,26,0,1,1620,,,,,
15.93061996,20.78506201,87,-10.85320169,26,0,0,1620,,,,,
15.96285009,18.74062969,81,-11.20330497,25,0,0,1620,,,,,
15.99487185,19.76284585,84,-10.85320169,26,0,0,1620,,,,,
16.0266366,22.48875562,92,-11.20330497,25,0,0,1680,,,,,
16.05873036,23.51097179,95,-11.20330497,25,-1,0,1680,,,,,
16.09077573,21.80727818,90,-10.85320169,26,0,1,1620,,,,,
16.12284732,19.76284585,84,-10.85320169,26,1,0,1620,,,,,
16.1548574,19.08136841,82,-10.85320169,26,1,0,1620,,,,,
16.18690133,19.76284585,84,-11.20330497,25,0,0,1680,,,,,
16.21892619,19.08136841,82,-10.85320169,26,0,0,1620,,,,,
16.25091076,20.78506201,87,-11.20330497,25,0,-1,1620,,,,,
16.2829535,21.80727818,90,-10.85320169,26,0,0,1620,,,,,
16.31479144,22.48875562,92,-11.20330497,25,0,1,1620,,,,,
16.34838891,23.17023307,94,-11.20330497,25,0,0,1620,,,,,
16.39500403,24.19244923,97,-11.20330497,25,-1,0,1620,,,,,
16.42697692,22.1480169,91,-11.20330497,25,0,-1,1560,,,,,
16.45910573,23.17023307,94,-11.20330497,25,-1,0,1680,,,,,
16.49091268,22.48875562,92,-10.85320169,26,1,0,1620,,,,,
16.52309632,21.80727818,90,-11.20330497,25,0,0,1620,,,,,
16.57113695,20.78506201,87,-11.20330497,25,0,0,1620,,,,,
16.60307503,22.48875562,92,-11.20330497,25,0,-1,1620,,,,,
16.63516378,21.80727818,90,-10.85320169,26,0,0,1620,,,,,
16.66720128,20.78506201,87,-11.20330497,25,-1,0,1620,,,,,
16.69922209,19.42210713,83,-10.85320169,26,0,0,1620,,,,,
16.74693203,22.48875562,92,-11.20330497,25,0,0,1620,,,,,
16.77956009,20.78506201,87,-11.20330497,25,0,0,1620,,,,,
16.81133842,23.51097179,95,-11.20330497,25,0,1,1620,,,,,
16.8431561,23.85171051,96,-10.85320169,26,0,0,1620,,,,,
16.87539744,22.48875562,92,-10.85320169,26,-1,1,1620,,,,,
16.92341375,20.10358457,85,-11.55340826,24,0,0,1620,,,,,
16.9554193,21.12580074,88,-11.20330497,25,0,-1,1620,,,,,
16.98748231,21.46653946,89,-11.20330497,25,0,0,1620,,,,,
17.01954389,18.74062969,81,-11.55340826,24,1,0,1620,,,,,
17.05152774,21.12580074,88,-11.20330497,25,0,0,1620,,,,,
17.08375263,22.48875562,92,-11.20330497,25,0,1,1680,,,,,
17.11561656,21.12580074,88,-11.20330497,25,0,0,1620,,,,,
17.14737511,23.51097179,95,-11.20330497,25,0,0,1620,,,,,
17.179739,22.48875562,92,-11.20330497,25,-1,0,1560,,,,,
