Time Since Start, Front, Front ADC, Back, Back ADC, RPM ,,,,
17.13105726,0.681477443,59,9.102685292,52,1560,,,,
17.16313457,0,57,8.752582012,51,1560,,,,
17.19483113,0.340738722,58,7.70227217,48,1560,,,,
17.2273016,0.340738722,58,7.35216889,47,1560,,,,
17.25903249,-0.681477443,55,8.402478731,50,1560,,,,
17.29267693,-0.681477443,55,9.452788573,53,1620,,,,
17.32305884,0,57,9.102685292,52,1620,,,,
17.35500216,0.681477443,59,9.452788573,53,1560,,,,
17.38710546,-0.340738722,56,7.70227217,48,1620,,,,
17.41948128,1.022216165,60,8.402478731,50,1560,,,,
17.45112491,0,57,6.651962329,45,1560,,,,
17.48306775,0,57,8.752582012,51,1560,,,,
17.51523733,0,57,9.802891853,54,1560,,,,
17.54722953,0,57,9.452788573,53,1560,,,,
17.57912874,0,57,9.102685292,52,1560,,,,
17.61116982,0.340738722,58,7.70227217,48,1620,,,,
17.64325523,0,57,8.402478731,50,1620,,,,
17.67532063,-0.340738722,56,7.002065609,46,1620,,,,
17.72330999,0.340738722,58,8.402478731,50,1560,,,,
17.7553215,1.022216165,60,7.70227217,48,1620,,,,
17.78739452,0,57,7.35216889,47,1560,,,,
17.81936812,0,57,9.102685292,52,1620,,,,
17.85142112,-0.681477443,55,10.15299513,55,1560,,,,
17.89943528,0,57,9.102685292,52,1620,,,,
17.93167758,0,57,9.102685292,52,1620,,,,
17.96331096,0,57,9.452788573,53,1620,,,,
17.99554396,0.340738722,58,9.802891853,54,1560,,,,
18.02757382,0.340738722,58,9.452788573,53,1560,,,,
18.07556486,0,57,8.752582012,51,1560,,,,
18.10759902,0,57,8.752582012,51,1560,,,,
18.14106846,0.340738722,58,8.052375451,49,1560,,,,
18.17158723,0,57,8.052375451,49,1620,,,,
18.20367408,0.681477443,59,7.35216889,47,1620,,,,
18.25158024,0,57,7.70227217,48,1560,,,,
18.28372908,0.681477443,59,8.052375451,49,1620,,,,
18.31571388,0,57,7.70227217,48,1560,,,,
18.34765816,-0.340738722,56,8.052375451,49,1560,,,,
18.37992764,0,57,9.102685292,52,1620,,,,
18.42779136,0,57,9.102685292,52,1560,,,,
18.45991039,0.340738722,58,7.35216889,47,1620,,,,
18.49187112,0.340738722,58,8.752582012,51,1560,,,,
18.52386332,0,57,9.452788573,53,1620,,,,
18.55592442,0,57,10.15299513,55,1560,,,,
18.60389853,0,57,9.802891853,54,1620,,,,
18.6359725,0,57,8.752582012,51,1560,,,,
18.66799808,-0.340738722,56,9.102685292,52,1560,,,,
18.70004153,0,57,8.752582012,51,1560,,,,
18.73205543,0,57,8.402478731,50,1560,,,,
18.77999377,0.681477443,59,7.002065609,46,1560,,,,
18.81232405,0,57,7.002065609,46,1560,,,,
18.84422922,0,57,8.402478731,50,1560,,,,
18.8759892,0.340738722,58,7.70227217,48,1560,,,,
18.90814137,-0.340738722,56,7.35216889,47,1560,,,,
18.94020915,0.340738722,58,6.651962329,45,1560,,,,
18.97220922,0,57,8.402478731,50,1560,,,,
19.0055275,0,57,9.452788573,53,1560,,,,
19.03629708,0.340738722,58,8.402478731,50,1620,,,,
19.06837773,0,57,8.052375451,49,1620,,,,
19.10031724,0.340738722,58,7.70227217,48,1620,,,,
19.13233972,0,57,7.002065609,46,1620,,,,
19.16434407,0,57,6.651962329,45,1620,,,,
19.19634318,0,57,8.402478731,50,1620,,,,
19.22866869,0,57,9.452788573,53,1560,,,,
19.26018834,0,57,8.052375451,49,1620,,,,
19.2924521,0,57,8.752582012,51,1560,,,,
19.32435226,0,57,7.002065609,46,1560,,,,
19.3564539,0,57,5.601652487,42,1560,,,,
19.38865781,-0.340738722,56,6.651962329,45,1560,,,,
19.42055607,0.340738722,58,8.402478731,50,1620,,,,
19.45261693,0,57,8.402478731,50,1620,,,,
19.48457003,0,57,7.70227217,48,1560,,,,
19.51655364,0,57,8.402478731,50,1560,,,,
19.5486362,-0.340738722,56,7.70227217,48,1560,,,,
19.5806253,0.340738722,58,7.002065609,46,1620,,,,
19.61259103,-0.340738722,56,6.301859048,44,1560,,,,
19.64471173,0.340738722,58,9.102685292,52,1560,,,,
19.67646384,0,57,9.802891853,54,1620,,,,
19.70886207,0,57,9.102685292,52,1620,,,,
19.74071002,0,57,9.102685292,52,1560,,,,
19.77281809,0.340738722,58,7.70227217,48,1560,,,,
19.80636096,0,57,7.35216889,47,1620,,,,
19.83682132,0,57,6.301859048,44,1560,,,,
19.86884642,0,57,8.052375451,49,1560,,,,
19.90059257,-0.340738722,56,8.402478731,50,1620,,,,
19.93289876,0,57,10.15299513,55,1620,,,,
19.96486855,0,57,9.102685292,52,1560,,,,
19.99664593,0.340738722,58,7.70227217,48,1620,,,,
20.02906442,1.022216165,60,5.951755768,43,1560,,,,
20.06119752,0,57,7.002065609,46,1560,,,,
20.09318447,0,57,7.35216889,47,1560,,,,
20.12508655,0,57,7.70227217,48,1620,,,,
20.15705609,0.340738722,58,8.402478731,50,1560,,,,
20.18908,0,57,8.052375451,49,1560,,,,
20.22111917,0,57,8.052375451,49,1560,,,,
20.25313377,-0.681477443,55,7.70227217,48,1560,,,,
20.28511167,0,57,7.002065609,46,1560,,,,
20.31732702,0,57,8.052375451,49,1620,,,,
20.34921885,0.681477443,59,8.052375451,49,1620,,,,
20.38126111,-1.022216165,54,8.752582012,51,1560,,,,
20.41313529,0,57,7.70227217,48,1560,,,,
20.44526291,0.340738722,58,9.102685292,52,1560,,,,
20.4773221,0,57,7.70227217,48,1560,,,,
20.50929546,0,57,7.70227217,48,1560,,,,
20.5413096,0.340738722,58,7.35216889,47,1560,,,,
20.57330632,0,57,7.70227217,48,1560,,,,
20.6068747,0,57,8.752582012,51,1620,,,,
20.63740325,0,57,9.452788573,53,1560,,,,
20.6694243,0,57,7.35216889,47,1560,,,,
20.70168829,-0.340738722,56,6.651962329,45,1560,,,,
20.73351002,0,57,7.002065609,46,1560,,,,
20.76549745,0.340738722,58,8.052375451,49,1560,,,,
20.79739308,-0.340738722,56,7.70227217,48,1560,,,,
20.82934952,0.340738722,58,9.102685292,52,1560,,,,
20.86154294,0.340738722,58,8.052375451,49,1560,,,,
20.89357996,0,57,8.052375451,49,1560,,,,
20.92562747,0,57,7.35216889,47,1560,,,,
