Time Since Start, Startboard, Port, Front, Back, RPM 
26.86262989,25,85,80,1,7620
26.89388347,25,82,90,1,7620
26.9251349,25,82,67,0,7620
26.95636368,25,85,86,1,7620
26.98764038,25,83,85,1,7620
27.03447318,25,84,68,2,7620
27.06572461,25,81,91,0,7740
27.096982,25,85,78,1,7740
27.12823343,25,83,73,1,7740
27.15953374,25,85,93,2,7620
27.19075847,25,82,72,2,7740
27.2220099,25,82,78,1,7620
27.25328684,25,84,90,1,7620
27.28453851,25,83,68,2,7740
27.31579375,25,84,86,1,7740
27.34704399,26,81,85,0,7740
27.37829685,26,85,67,2,7500
27.40953135,24,83,91,1,7620
27.44075727,25,84,78,2,7620
27.47203112,25,82,73,1,7620
27.50330639,25,83,93,1,7620
27.53455997,25,85,72,2,7740
27.56581283,25,84,80,1,7500
27.5970645,25,83,92,1,7740
27.62831736,25,81,69,1,7740
27.67515016,25,85,85,1,7620
27.69078422,25,83,85,1,7620
27.73765111,25,85,68,2,7740
27.76891136,25,82,91,1,7620
27.80016184,25,83,79,1,7500
27.83145857,25,85,73,1,7740
27.86271048,25,85,93,1,7920
27.89396262,25,82,72,1,7620
27.92521548,25,82,79,0,7740
27.95644498,25,84,92,1,7740
27.98767686,25,83,69,1,7620
28.01895046,25,85,85,1,7620
28.05022287,25,82,85,1,7740
28.0814755,25,84,67,1,7500
28.11273146,25,85,90,1,7740
28.14398336,25,85,80,2,7620
28.17523575,25,83,72,1,7620
28.20648837,26,82,92,0,7620
28.23771954,25,85,73,2,7740
28.26899362,25,83,78,1,7740
28.30024648,25,85,91,2,7740
28.34707499,25,82,68,1,7620
28.37833142,25,85,86,1,7500
28.40958834,25,84,86,1,7620
28.44084048,25,85,69,1,7620
28.4721117,26,83,91,1,7620
28.50338745,25,82,79,0,7620
28.53464007,25,85,72,1,7740
28.56589341,25,83,91,1,7620
28.59714603,24,84,73,1,7620
28.62839913,26,81,77,0,7740
28.65964961,25,84,91,1,7620
28.69090319,25,84,68,1,7740
28.72213125,25,85,85,1,7620
28.75340796,25,83,85,1,7620
28.78466153,25,81,68,1,7740
28.81591415,26,85,90,1,7620
28.84716487,25,83,79,1,7740
28.87841845,26,84,70,1,7620
